,0
1801,"King James Version<br>King James Version<br><br>Revelation <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=22m18s"">22:18</a>-19<br>For <br>I testify unto every man <br>That heareth the words <br>of the prophecy of <br>This Book, If any <br>Man shall add unto <br>These things, God shall <br>Add unto him the <br>Plagues that are <br>Written in This Book:<br>19 <br>And if any man shall <br>Take away from the <br>Words of the book <br>of this prophecy, God <br>Shall take away his <br>Part out of the Book <br>of Life, and out <br>Of <br>The Holy City, and <br>From the things which <br>are <br>Written in This Book.<br><br>Exodus 24:7<br>The Book<br><br>Genesis 11:1-6<br>One People<br><br>1 Thessalonians 5:5<br>Light<br><br>Ephesians 5:8<br>The Children Of Light<br><br>John <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=12m36s"">12:36</a><br>The Children of Light<br><br>Psalm 106:42<br>Their Enemies also<br>Oppressed Them,<br><br>Light<br>Psalm 119:130<br><br>One<br>Genesis <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=41m25s"">41:25</a><br>Romans <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=9m17s"">9:17</a><br>Pharaoh<br>it<br>Exodus <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=16m14s"">16:14</a>-16<br>Omer<br>Acts 8:6<br>Philip<br>John <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=1m49s"">1:49</a><br>The King of Israel<br>Hebrews 7:3<br>Without<br>Hebrews <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=5m10s"">5:10</a> <br>Called of God an high <br>Priest after The Order <br>of Melchisedec.<br>Daniel <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=2m31s"">2:31</a>-38<br>Thou Art This Head<br>Of<br>Gold<br>Jeremiah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=8m21s"">8:21</a><br>I am Black<br>Ezekiel <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=10m20s"">10:20</a><br>Living<br>Revelation <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=1m18s"">1:18</a><br>I am he<br>Psalm 119:83<br>For <br>I am Become like <br>A Bottle in The <br>Smoke; yet do I <br>Not forget thy statutes.<br>Psalm 145:14<br>Be Bowed Down<br>John <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=8m17s"">8:17</a>-18<br>Two<br>Mark <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=12m29s"">12:29</a><br>One<br><br>1 John 1:5<br>God is Light<br><br>Matthew 19:4<br>Male and Female<br><br>Light<br>Genesis 1:3<br><br>Romans <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=10m13s"">10:13</a><br>For <br>Whosoever<br><br>John <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=20m22s"">20:22</a><br>And <br>When he had said <br>This, he Breathed on <br>Them, and saith unto <br>Them, Receive ye <br>The Holy Ghost:<br><br>Luke <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=3m21s"">3:21</a>-23<br>The Holy Ghost<br><br>Psalm 118:27<br>God is The Lord<br><br>Light<br>John 1:6-13<br>Name<br><br>Zechariah 14:9<br>His name One<br><br>Exodus 20:7<br>Thou shalt not take <br>The name of the <br>Lord thy God in<br>Vain<br><br>Psalm 106:47<br>Save us, <br>O Lord our God, <br>And <br>Gather us from Among <br>The Heathen, to give <br>Thanks unto thy Holy <br>Name, and to Triumph <br>in <br>Thy Praise.<br><br>Acts <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=17m28s"">17:28</a><br>In <br>Him we Live<br><br>1 John 5:7<br>The Holy Ghost<br><br>John <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=5m35s"">5:35</a><br>Light<br><br>Mark <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=12m29s"">12:29</a><br>One Lord<br><br>Hebrews <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=12m29s"">12:29</a><br>Fire.<br><br>Deuteronomy <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=4m24s"">4:24</a>-26<br>Fire<br><br>Luke <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=18m19s"">18:19</a><br>Save One<br><br>Ephesians 4:4-6<br>One God<br>Revelation 19:1<br>Alleluia<br>Revelation 19:4<br>Alleluia<br>Revelation 4:2<br>One Sat on The<br>Throne<br><br>One<br>Galatians <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=3m20s"">3:20</a><br><br>The Holy Quran<br>The Holy Quran<br><br>Light<br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=24m35s"">24:35</a><br>Allah<br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=13m11s"">13:11</a><br>For Each One<br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=10m19s"">10:19</a><br>One Community<br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=24m11s"">24:11</a><br>Indeed, <br>Those who came with <br>Falsehood are A Group <br>Among you. Do not <br>Think <br>it <br>Bad for you; Rather <br>it <br>Is good for you. <br>For Every Person <br>Among Them is what <br>[punishment] he has <br>Earned from the Sin, <br>and he who took upon <br>himself the Greater <br>Portion thereof - for him <br>Is <br>A Great Punishment.<br><br>Surah 100:11<br>Indeed, <br>Their Lord <br>With them, That Day, <br>Is [fully] Acquainted.<br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=13m11s"">13:11</a><br>For Each One <br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=16m32s"">16:32</a><br>The <br>Ones whom The Angels <br>Take in Death, <br>[being] <br>Good and Pure; <br>[The Angels] will say, <br>&quot;Peace Be upon You. <br>Enter Paradise for What <br>You used to Do.&quot;<br><br>Surah 10:90<br>Pharaoh<br><br>Surah <a href=""https://www.youtube.com/watch?v=kTjuhFqSplw&amp;t=10m11s"">10:11</a><br>And <br>If Allah was To <br>Hasten<br><br><a href=""https://images.app.goo.gl/3QeCzh7M6hGp87o59"">https://images.app.goo.gl/3QeCzh7M6hGp87o59</a><br><br><a href=""https://youtu.be/ULofBtBAJn4"">https://youtu.be/ULofBtBAJn4</a>"
1802,Because the EU wants to make the UK a vassal state rather than let it return to independent status.
1803,Brexit was a fraud scheme.
1804,"Haha england said Okey i will stay in the EU like 60 years i will take profit of that, and of course i will have pounds not euros, so i can have profit on that too, and i will so my brexit and pay nothing. And EU IS DOING NOTHING!!!"
1805,"The EU are demonstrating exactly why we&#39;re leaving, acting like a vindictive, preaching bully and getting involved in British politics with its underhand attempt to unite the island of Ireland.<br>Tell big brother where to go, they don&#39;t govern us and don&#39;t believe the BBC, you know whose side they will take in their propoganda campaign."
1806,. <br>It seems that the Omnicron-virus is the best immune-booster people can get. I hope the Omnicron-virus ends the CoV-crisis.
1807,"There is much information available online about the epidemics of 1957 and 1968; I remember both.  No media hysteria, muzzle wearing, distancing , TV brainwashing, or creative statistics.  Wake up!  Reclaim your freedom.  Live again!"
1808,Done with the BBC. Don’t care if they try and claw things back and act like they have an ounce journalistic integrity. <br>👋
1809,"Whitty and valance should both be sacked , bloody stupid in not knowing what was coming again!!!!"
1810,Vallance and Whitty have became the most hated men in the UK
1811,"Fire them all, clearly they are acting against people’s interests. So much of this scam has been exposed. Belinda and Mel Gates’s agenda for depopulation is a fraud and driven by enormous amounts of money dished out to governments and companies to sell their people. How much more sinister can this plandemic get?!"
1812,"Yes, Herd Immunity?   A stampede of cows is seen running towards a cliff where they will  ultimately die.  Of the thousands of cows, one of the cows looks at another cow that&#39;s also on the run and asks, &quot;Hey buddy, why are you running?&quot; And that&#39;s when the other cow answers, &quot;I don&#39;t know.  I&#39;m running because that other cow is running&quot;.  WTF?  People please.....wake up!"
1813,Boris wanted this too. So dont forget to loop him in.
1814,"<a href=""https://www.youtube.com/watch?v=jqIYDTIdg2o"">https://www.youtube.com/watch?v=jqIYDTIdg2o</a>"
1815,Whitty and Valance are vaccine salesmen! The fear narrative is still being pushed despite the death to cases ratio at an all time low. We only have cases because the PCR test is so wildly inaccurate! Unbelievably 90+ tests are false positives!
1816,Eugenics!
1817,"these 2 are corrupt liars, has the BBC reported on how Vallance has £600,000 worth of shares in GSK, the company contracted to produce the covid vaccine? they are both along with hancock deliberately trying to spread fear to the British people with totally bogus stats."
1818,"Total rubbish the virus was let in on propose so they could get as many off us infected so the goverment scientist&#39;s could get antibodies and a vaccine and to hell with the most vunerable in nursing homes, hospital&#39;s and others etc.The goverment and chief medical advisors etc should be all sacked and accountable for there lack of response to this crises as they are all a disgrace as round two of the thinning out begins......"
1819,"&quot;Take Down the BBC&quot; - <a href=""https://youtu.be/t708LwKPTcs"">https://youtu.be/t708LwKPTcs</a>"
1820,"All the government advisors have obvious conflicts of interest in being beholden to big pharma and Gates,  but none so obviously as Vallance."
1821,"Great strategy Boris, make everyone destitute so they cannot afford to go to the Trafalgar Square protest. Destroy the lives of as many as you can so even less can afford to protest.  BBC news at 17.00 and no coverage yet masses of coverage for the destruction of statues and black lives matter protests. BBC even covered a small number of anti lockdown protests in USA and Europe, but none of the protests going on around this country and now the third one in Trafalgar Square. According to the government this Covid scam is the worst crisis to have hit the planet! You would think they would be unbiased and cover all the issues connected with the biggest tragedy the world has ever faced! With a quarter of the UK citizens now on lock down Valence and Whitty standing to make money out of their undeclared connections with the Pharmaceutical Industry one has to ask, are we all living a nightmare and will finally wake up? You could not make up all the corruption and idiotic behaviour within UK government. At least the Evening Standard have loaded a you tube video about the protest today in Trafalgar Square!  Thank you Evening Standard and Russia Today for your excellent coverage! No wonder people are cancelling their BBC licence!"
1822,"Trafalgar Square livestream NOW - <a href=""https://youtu.be/RVqDKi8Qr6A"">https://youtu.be/RVqDKi8Qr6A</a>"
1823,"<a href=""https://youtu.be/tfv6MmlW_W0"">https://youtu.be/tfv6MmlW_W0</a> for real COVID figures"
1824,"<a href=""https://youtu.be/tfv6MmlW_W0"">https://youtu.be/tfv6MmlW_W0</a>"
1825,"<a href=""https://youtu.be/tfv6MmlW_W0"">https://youtu.be/tfv6MmlW_W0</a>"
1826,"brenda your called yourself dumb,   idiot, your dum is good for you not for me jajjajjajajaja bye happy new year brenda"
1827,Street smart people can see through Meghan’s tactics! Most of her fans are Naive
1828,Trump is so much brighter and more clued in than the pathetic leftie woke globalist idiots.
1829,Trump proven to be right yet again.Go Go Go President Trump.
1830,Trump was right!! Harry married an opportunist!!! BBC corrupted news 👿👿👿
1831,Sometimes when I have a shitty day I watch this video &amp; I’m smiling again
1832,Legend 😂
1833,Miss you Donald🙏
1834,Don&#39;t you usually say &#39;I wish all the best of luck&#39; to someone?
1835,I love him! He always knows just what to say! 😂
1836,Very soon she will say I am a single woman
1837,Trump is old enough to see right through the nonsense. Haha
1838,"I Miss you,  my beloved President ❤️"
1839,God I miss Trump!!! 🇬🇧 🇺🇸
1840,Well said!👏👏👏
1841,"Dirty harry is going to need a lot  more than luck to stay with her,she&#39;ll  do to his  family what she did to her poor  family."
1842,major diss! lol!!!!
1843,based
1844,"Not a fan of Trump, but, by God, he never spoke a truer word!!!!"
1845,Wise man understands women.👍👍
1846,Not good to see.:(
1847,When will the world wake up..It&#39;s FUKUSHIMA KILLING THEM...THEY ARE STARVING..NO FOOD FOR THEM TO EAT..
1848,These pilot whales must be killed by 99 feet shark .I  think so
1849,Waste not pack the dead ones into a chiller container and send them to alaskan and Arctic polar bears
1850,Mankind is the virus!
1851,"The Tidings<br>In the name of Allah, the Beneficent, the Merciful.[78:1]<br>Whereof do they question one another ?<br><br>[78:2]<br>(It is) of the awful tidings,<br><br>[78:3]<br>Concerning which they are in disagreement.<br><br>[78:4]<br>Nay, but they will come to know!<br><br>[78:5]<br>Nay, again, but they will come to know!<br><br>[78:6]<br>Have We not made the earth an expanse,<br><br>[78:7]<br>And the high hills bulwarks ?<br><br>[78:8]<br>And We have created you in pairs,<br><br>[78:9]<br>And have appointed your sleep for repose,<br><br>[78:10]<br>And have appointed the night as a cloak,<br><br>[78:11]<br>And have appointed the day for livelihood.<br><br>[78:12]<br>And We have built above you seven strong (heavens),<br><br>[78:13]<br>And have appointed a dazzling lamp,<br><br>[78:14]<br>And have sent down from the rainy clouds abundant water,<br><br>[78:15]<br>Thereby to produce grain and plant,<br><br>[78:16]<br>And gardens of thick foliage.<br><br>[78:17]<br>Lo! the Day of Decision is a fixed time,<br><br>[78:18]<br>A day when the trumpet is blown and ye come in multitudes,<br><br>[78:19]<br>And the heaven is opened and becometh as gates,<br><br>[78:20]<br>And the hills are set in motion and become as a mirage.<br><br>[78:21]<br>Lo! hell lurketh in ambush,<br><br>[78:22]<br>A home for the rebellious.<br><br>[78:23]<br>They will abide therein for ages.<br><br>[78:24]<br>Therein taste they neither coolness nor (any) drink<br><br>[78:25]<br>Save boiling water and a paralysing cold:<br><br>[78:26]<br>Reward proportioned (to their evil deeds).<br><br>[78:27]<br>For lo! they looked not for a reckoning;<br><br>[78:28]<br>They called Our revelations false with strong denial.<br><br>[78:29]<br>Everything have We recorded in a Book.<br><br>[78:30]<br>So taste (of that which ye have earned). No increase do We give you save of torment.<br><br>[78:31]<br>Lo! for the duteous is achievement -<br><br>[78:32]<br>Gardens enclosed and vineyards,<br><br>[78:33]<br>And maidens for companions,<br><br>[78:34]<br>And a full cup.<br><br>[78:35]<br>There hear they never vain discourse, nor lying -<br><br>[78:36]<br>Requital from thy Lord - a gift in payment -<br><br>[78:37]<br>Lord of the heavens and the earth, and (all) that is between them, the Beneficent; with Whom none can converse.<br><br>[78:38]<br>On the day when the angels and the Spirit stand arrayed, they speak not, saving him whom the Beneficent alloweth and who speaketh right.<br><br>[78:39]<br>That is the True Day. So whoso will should seek recourse unto his Lord.<br><br>[78:40]<br>Lo! We warn you of a doom at hand, a day whereon a man will look on that which his own hands have sent before, and the disbeliever will cry: &quot;Would that I were dust!&quot;"
1852,"The Sundering<br>In the name of Allah, the Beneficent, the Merciful.[84:1]<br>When the heaven is split asunder<br><br>[84:2]<br>And attentive to her Lord in fear,<br><br>[84:3]<br>And when the earth is spread out<br><br>[84:4]<br>And hath cast out all that was in her, and is empty<br><br>[84:5]<br>And attentive to her Lord in fear!<br><br>[84:6]<br>Thou, verily, O man, art working toward thy Lord a work which thou wilt meet (in His presence).<br><br>[84:7]<br>Then whoso is given his account in his right hand<br><br>[84:8]<br>He truly will receive an easy reckoning<br><br>[84:9]<br>And will return unto his folk in joy.<br><br>[84:10]<br>But whoso is given his account behind his back,<br><br>[84:11]<br>He surely will invoke destruction<br><br>[84:12]<br>And be thrown to scorching fire.<br><br>[84:13]<br>He verily lived joyous with his folk,<br><br>[84:14]<br>He verily deemed that he would never return (unto Allah).<br><br>[84:15]<br>Nay, but lo! his Lord is ever looking on him!<br><br>[84:16]<br>Oh, I swear by the afterglow of sunset,<br><br>[84:17]<br>And by the night and all that it enshroudeth,<br><br>[84:18]<br>And by the moon when she is at the full,<br><br>[84:19]<br>That ye shall journey on from plane to plane.<br><br>[84:20]<br>What aileth them, then, that they believe not<br><br>[84:21]<br>And, when the Qur’an is recited unto them, worship not (Allah) ?<br><br>[84:22]<br>Nay, but those who disbelieve will deny;<br><br>[84:23]<br>And Allah knoweth best what they are hiding.<br><br>[84:24]<br>So give them tidings of a painful doom,<br><br>[84:25]<br>Save those who believe and do good works, for theirs is a reward unfailing."
1853,Or Navy Crap At Least
1854,A Friend Of Mine who is Fucken Awesome fisherman Suspects submarine!?!???!!!?!!
1855,I Think it Submarine s!!!!??!!!
1856,400???!!!
1857,"I can’t believe this. A great testimony that i must share to all HERPES patient in the world, i never believed that their could be a complete cure for HERPES or any cure for HERPES,i saw people’s testimony on blog sites and comment section about DR Dele a herbal doctor and the efficiency of his herbal medicine.  I had to give him a try because i my self have been suffering from the same virus, and i was not disappointed. It took just few weeks i started using it i started noticing changes. I was cured . You can also contact him on his email: (drdelehome@gmail.com) or WhatsApp  him on: +2348130654769"
1858,Worst whale leader.
1859,"Walking fish found in Australia.Trending video....<br><a href=""https://youtu.be/tZqVSqV6JRw"">https://youtu.be/tZqVSqV6JRw</a>"
1860,"くじら、いるか<br><a href=""https://youtu.be/w3VQszI_Ces"">https://youtu.be/w3VQszI_Ces</a>"
1861,those all because &#39;human&#39; and climate change! i feel shame as human :&#39;( poor dear whales 🧡
1862,They are hungry in search of food which is very scarce due to overfishing by giant size travellers.whales are intelligent like humans and they never like to suicide without strong reason.
1863,Omg These poor animals.
1864,Maybe somebody should design equipment to specifically help beached animals?  There is no profit in doing so however so I have no idea why somebody would do it unless they really want to save the animals.  Maybe some rich guy who was saved by a whale when he was small would come along and fund such a project.
1865,Did they try a big hydro-vac to suck the sand from underneath them and to suck a channel to deeper water!?
1866,another option for those who went homless jail is second option at least you will be fed
1867,I Putu Aris Artha Wiguna difficulty of living with people is incomprehensible for 12 years making equality by entitled to the power of the solar system on the chest by BBC News.
1868,"<a href=""https://youtu.be/WYCMj41sAYY"">https://youtu.be/WYCMj41sAYY</a>"
1869,Who is that foreign person?
1870,I’m still surprised on how I got so much profits after hearing that a lot of people were scammed . This is just amazing and I’m still shocked thanks. Mrs Joel is the best and don’t hesitate to follow her on Instagram @joelclaytonfx
1871,I really appreciate all her effort with the little investment of $500 with joy all over me after withdrawing $5000 and another $3500 through the help of my manager mrs Joel. You can connect with her on Instagram @joelclaytonfx
1872,"Quarantine these people if you&#39;re going to quarantine the British:    <a href=""https://youtu.be/RhosPZ5nXSI"">https://youtu.be/RhosPZ5nXSI</a><br>WAKE  UP  !!!!"
1873,"King James Version<br>King James Version<br><br>Revelation <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=22m18s"">22:18</a>-19<br>For <br>I testify unto every <br>Man that heareth the <br>Words of the prophecy <br>Of this book, If any <br>Man shall add unto <br>These things, God shall <br>Add unto him the <br>Plagues that are written <br>In This Book:<br><br>19<br>And if any man shall <br>Take away from the <br>Words of the Book of <br>This prophecy, God <br>shall take away his <br>Part out of the <br>Book of Life, and <br>Out of the Holy city, <br>and from the things <br>Which are written in <br>This Book.<br><br>One<br>Matthew 23:9<br><br>Jerusalem<br>Galatians <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=4m26s"">4:26</a><br>The Mother of us<br>All<br><br>One<br>Matthew 23:8<br>All ye are Brethren<br><br>One<br>Matthew <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=6m24s"">6:24</a><br><br>Revelation 16:7 <br>And <br>I heard another out of <br>The altar say, Even so, <br>Lord God Almighty, <br>True and Righteous are <br>Thy Judgments.<br><br>One<br>Galatians <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=3m20s"">3:20</a><br><br>One<br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=12m44s"">12:44</a>-48<br><br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=12m43s"">12:43</a><br>For they Loved the <br>Praise of men More <br>Than <br>The praise of God.<br><br>1 John 1:5<br>This <br>Then is The message <br>Which we have heard <br>Of him, and Declare <br>Unto you, that God <br>Is <br>Light, and in him <br>Is no darkness at <br>All.<br><br>Light<br>Genesis 1:5<br>Day<br><br>Light<br>Psalm 119:130<br><br>Psalm 118:27<br>God is The Lord<br><br>1 John 5:7<br>The Holy Ghost<br><br>Mark <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=12m29s"">12:29</a><br>One Lord<br><br>Revelation 16:3<br>And <br>The second Angel poured <br>Out his vial upon <br>The sea; and it <br>Became as The Blood <br>Of A Dead man: <br>And <br>Every Living soul Died <br>In the Sea.<br><br>One<br>Matthew 23:9<br>Is<br>Your Father, Which<br>Is<br>In Heaven<br><br>Genesis 1:3<br>Light<br><br>Acts 13:2<br>The Holy Ghost<br><br>Acts <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=7m52s"">7:52</a><br>The Just One<br><br>Light<br>Psalm 119:105<br><br>Light<br>John 1:6-12<br><br>Zechariah 14:9<br>His name One<br><br>Fire<br>Hebrews <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=12m29s"">12:29</a><br>Fire<br>Deuteronomy <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=4m24s"">4:24</a>-26<br>Save One<br>Luke <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=18m19s"">18:19</a><br><br>Revelation 16:9 <br>And <br>Men were scorched with <br>Great Heat, and Blasphemed <br>The name of God, <br>Which hath power over <br>These plagues: and <br>They repented Not to <br>Give him Glory.<br><br>Revelation <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=16m17s"">16:17</a><br>And <br>The seventh Angel poured <br>Out his vial into <br>The Air; and There came <br>A <br>Great voice out of <br>The temple of Heaven, <br>From the Throne, <br>Saying, <br>It is Done.<br><br>it<br>Exodus <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=16m14s"">16:14</a>-16<br>Omer<br>Acts 8:6<br>Philip<br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=1m49s"">1:49</a><br>The King of Israel<br>Daniel <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=2m31s"">2:31</a>-38<br>Thou Art This Head<br>Of<br>Gold<br>Song of Solomon<br>7:5 Thine Head<br>Job <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=13m26s"">13:26</a>-28<br>My Feet<br>Revelation <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=1m15s"">1:15</a><br>And his Feet<br>Hebrews 7:2<br>King of Peace<br>Ezekiel <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=10m20s"">10:20</a><br>Living<br>Revelation <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=17m14s"">17:14</a><br>King of Kings<br>Romans <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=9m17s"">9:17</a><br>Pharaoh<br>Psalm 145:14<br>Be Bowed Down<br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=8m17s"">8:17</a>-18<br>Two<br>Deuteronomy 6:4<br>One <br><br>Light<br>Psalm 27:1<br><br>Revelation 19:1<br>Alleluia<br>Acts <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=7m52s"">7:52</a><br>The Just One<br>Revelation 19:4<br>Alleluia<br>Revelation 4:2<br>One Sat on The<br>Throne<br><br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=20m22s"">20:22</a><br>The Holy Ghost<br><br>1 John 1:5<br>God is Light<br>Light<br>Genesis 1:5<br>Day<br>Psalm 118:27<br>God is The Lord<br>1 John 5:7<br>The Holy Ghost<br>John <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=5m35s"">5:35</a><br>Light<br>Zechariah 14:9<br>His name One<br><br>Ecclesiastes <a href=""https://www.youtube.com/watch?v=ivNMfBv2vbc&amp;t=12m13s"">12:13</a>-14<br>Fear God<br><br>Revelation 22:9<br>Worship God<br><br><a href=""https://images.app.goo.gl/8eiYgsHWScZNGfBL8"">https://images.app.goo.gl/8eiYgsHWScZNGfBL8</a><br><br><a href=""https://images.app.goo.gl/uE1iPGaZizs1dgDy5"">https://images.app.goo.gl/uE1iPGaZizs1dgDy5</a>"
1874,"sinister govt legislation ;  <a href=""https://www.legislation.gov.uk/uksi/2020/973/made"">https://www.legislation.gov.uk/uksi/2020/973/made</a>"
1875,"&quot;Take Down the BBC&quot; - <a href=""https://youtu.be/t708LwKPTcs"">https://youtu.be/t708LwKPTcs</a>"
1876,"Humans are so stupid. You need to look at your body and your terrain. Viruses like covid are less likely to be able to destroy a healthy terrain. Look to the causes not trying to kill, control and manipulate a virus."
1877,"Only one thing, end this PLANDAMIC and open the country!"
1878,"Trafalgar Square livestream NOW - <a href=""https://youtu.be/RVqDKi8Qr6A"">https://youtu.be/RVqDKi8Qr6A</a>"
1879,"Trafalgar Square. NOW....WAKE UP - <a href=""https://www.bitchute.com/video/l9JeNB4Sa0wF/"">https://www.bitchute.com/video/l9JeNB4Sa0wF/</a>"
1880,Look at that like rating compared to the comments wow absolute scam
1881,"<a href=""https://petition.parliament.uk/petitions/313310"">https://petition.parliament.uk/petitions/313310</a> repeal this act and show your friends disgusting they have even made it harder to sign up to it now by requiring an email but its worth it let&#39;s do these scammers"
1882,"TOMORROW. Trafalgar Square, 12 Noon &#39;Rally of the Century&#39;. If you&#39;re local please come &amp; join the peaceful protest. If you&#39;re not please share on social media everywhere - <a href=""https://brandnewtube.com/@truthhunter789"">https://brandnewtube.com/@truthhunter789</a>"
1883,Had our incompetent Government dealt with the virus properly from the day we new about it and it’s dangers the country and our incompetent Government would not have to make any plans and the virus would have been stifled by now . Instead they continue to make us all suffer with the continued  basic ignorance and failure to provide or doing anything sensible. This whole predicament has become ridiculous through their bubble headed no sensicle actions and blunders . Please please call another election and let the public and businesses choose a little 5 year old primary child who could do better .
1884,The BBC news is shockingly bad
1885,"<a href=""https://www.ebay.co.uk/itm/363115907715"">https://www.ebay.co.uk/itm/363115907715</a>"
1886,UPDATE: It&#39;s happening again - Jan 2022 - Maybe the BBC should report that rather than spending a few minutes over the weekend doing so.
1887,And now Brexit transition is over how is the Kent distributor doing? My understanding is only 200 lorries a day are being turned round by French boarder force. Also the only queue we had was because the French halted lorries due to Covid. This article sits with the many thousand by the BBC who elected to undermine Brexit at every opportunity.
1888,"We have a transport minister.  Why the hell isnt he seeing to it that these people have food, water and toilets??"
1889,"brits forget very easily, if it wasnt for the polish dutch french undergroud resistence among other eu countries and with america the uk would,ve been over run and destroyed by the nazis, grow up uk the empire is dead n buried, no longer have you ireland austrailia canada india south africa  etc in your grasp, your just a small country n you need good neighbours like every other nation, youve lost all respect all over the world.... my god what have you done .... backwards"
1890,Project Fear ladies. <br><br>XD
1891,New VIRUS has landed ;)
1892,im here from december
1893,You can’t just have a referendum to leave the EU after more than 40 years and then just leave..the referendum should have been the first stage..then in the next few years go through the pros and cons..and let the people understand very clearly what they will be getting themselves into by leaving..then a few more years down the line have a finale vote to leave or stay..I guarantee you that the majority would have voted to stay..<br>You just can’t have a vote to leave or stay out of the blue to satisfy the whims of Cameron and then it becomes gospel. <br>Cameron didn’t really care..after he and Osborn caused total chaos for the UK..they both baled out.
1894,Oh &quot; immigrants taking our jobs&quot;. &quot;time to take our country back&quot;. Please.....PLEASE!!!! Open your eyes. Give u an example. I am an immigrant working in UK for the last 14 years. Now. I have paid taxes ever since ok? Here is the interesting bit. English people would come and run away (during shifts mostly) over that period of time. Not many have stayed. Uhmm.. Yeah maybe like two???!!! aha  working in a factory must have been to hard for them. Poor lads. Wanted to be a managers  having no skills to even spell their own name now vote &quot;OUT&quot;. And i am not throwing everyone into the same  basket. If you know you know. Peace
1895,Hahahahhhahhahhhh
1896,People need to remember the uk is not shut its euroupe that has shut out the  uk E.u tantrum again
1897,Flag sha&amp;&amp;ers from the UK: “GIVE US BACK OUR BORDERS!”<br><br>EU: “Sure”. 🚪
1898,MICROMAC PLAYING SILLY BREXIT GAMES
1899,Mother; Clean your room<br>Child; Shoves mess under bed<br><br>Uk; What will be do about the border?<br>Government; Builds Lorry park
1900,I ... I need to say it ... I can&#39;t control it ... <b>I told you so!</b>
1901,How many of these Hauliers voted Brexit?
